group,model,metric,estimate,ci_lower,ci_upper
random_seed_1103_internal,logistic_weighted,serious_or_fatal_recall,0.61453039713909274,0.60812982307547525,0.62121329757199317
random_seed_2207_2024,dummy_most_frequent,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
random_seed_2207_2024,dummy_most_frequent,fatal_recall,0,0,0
random_seed_2207_2024,dummy_most_frequent,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
random_seed_2207_2024,dummy_most_frequent,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
random_seed_2207_2024,dummy_most_frequent,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
random_seed_2207_2024,dummy_most_frequent,qwk,0,0,0
random_seed_2207_2024,dummy_most_frequent,serious_or_fatal_recall,0,0,0
random_seed_2207_2024,lightgbm_weighted,accuracy,0.5932208427873612,0.59034747887086703,0.59599512518949338
random_seed_2207_2024,lightgbm_weighted,fatal_recall,0.23901464713715045,0.21704394141145139,0.26031957390146471
random_seed_2207_2024,lightgbm_weighted,macro_f1,0.36601698611467898,0.36293617684902935,0.3690499702022878
random_seed_2207_2024,lightgbm_weighted,mean_asymmetric_cost,0.63335876425535287,0.62897936132055843,0.63794673377787914
random_seed_2207_2024,lightgbm_weighted,ordinal_mae,0.46476165941720254,0.46111545968868589,0.46829911718370704
random_seed_2207_2024,lightgbm_weighted,qwk,0.099891387138914212,0.093756137578875576,0.10583965273090129
random_seed_2207_2024,lightgbm_weighted,serious_or_fatal_recall,0.41242171606366429,0.40635845067613385,0.41824763652319602
random_seed_2207_2024,logistic_unweighted,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
random_seed_2207_2024,logistic_unweighted,fatal_recall,0,0,0
random_seed_2207_2024,logistic_unweighted,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
random_seed_2207_2024,logistic_unweighted,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
random_seed_2207_2024,logistic_unweighted,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
random_seed_2207_2024,logistic_unweighted,qwk,0,0,0
random_seed_2207_2024,logistic_unweighted,serious_or_fatal_recall,0,0,0
random_seed_2207_2024,logistic_weighted,accuracy,0.55217137138724026,0.54934730052414116,0.5549560573483806
random_seed_2207_2024,logistic_weighted,fatal_recall,0.49334221038615178,0.46870838881491345,0.51732689747003979
random_seed_2207_2024,logistic_weighted,macro_f1,0.34018314974237979,0.3376888686503613,0.34266999479307308
random_seed_2207_2024,logistic_weighted,mean_asymmetric_cost,0.72739702953619945,0.72236368860661671,0.73228397752831254
random_seed_2207_2024,logistic_weighted,ordinal_mae,0.57570323104818333,0.57154106433362728,0.58002392818571835
random_seed_2207_2024,logistic_weighted,qwk,0.099077655214211191,0.09402353707869042,0.10421863746830527
random_seed_2207_2024,logistic_weighted,serious_or_fatal_recall,0.44999800550480673,0.4438150704056803,0.45610315529139578
random_seed_2207_internal,dummy_most_frequent,accuracy,0.77956186208613398,0.77956186208613398,0.77956186208613398
random_seed_2207_internal,dummy_most_frequent,fatal_recall,0,0,0
random_seed_2207_internal,dummy_most_frequent,macro_f1,0.29204261966379891,0.29204261966379891,0.29204261966379891
random_seed_2207_internal,dummy_most_frequent,mean_asymmetric_cost,0.48437888971869553,0.48437888971869553,0.48437888971869553
random_seed_2207_internal,dummy_most_frequent,ordinal_mae,0.23493900921085387,0.23493900921085387,0.23493900921085387
random_seed_2207_internal,dummy_most_frequent,qwk,0,0,0
random_seed_2207_internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
random_seed_2207_internal,lightgbm_weighted,accuracy,0.5432744170608248,0.540286335158908,0.54650106837606838
random_seed_2207_internal,lightgbm_weighted,fatal_recall,0.37768240343347642,0.35193133047210301,0.40414878397711018
random_seed_2207_internal,lightgbm_weighted,macro_f1,0.35219760626996233,0.3494019336199814,0.35523047037705485
random_seed_2207_internal,lightgbm_weighted,mean_asymmetric_cost,0.66084764749813296,0.65599327856609413,0.66554642768235006
random_seed_2207_internal,lightgbm_weighted,ordinal_mae,0.54386565430254752,0.53985146460874611,0.54779686333084388
random_seed_2207_internal,lightgbm_weighted,qwk,0.11597735573716694,0.11084383596529095,0.12117447236074627
random_seed_2207_internal,lightgbm_weighted,serious_or_fatal_recall,0.55119518162996428,0.54484283832109914,0.55773691887822319
random_seed_2207_internal,logistic_unweighted,accuracy,0.77949962658700522,0.77943739108787657,0.77954111691975769
random_seed_2207_internal,logistic_unweighted,fatal_recall,0,0,0
random_seed_2207_internal,logistic_unweighted,macro_f1,0.29203121994439168,0.29201932559755556,0.29204165695189244
random_seed_2207_internal,logistic_unweighted,mean_asymmetric_cost,0.484420380051448,0.48435814455231929,0.4844826155505767
random_seed_2207_internal,logistic_unweighted,ordinal_mae,0.23499087212679445,0.23493900921085387,0.23504273504273504
random_seed_2207_internal,logistic_unweighted,qwk,2.7931707166639619e-05,-0.00018461846581585561,0.00037921892424952475
random_seed_2207_internal,logistic_unweighted,serious_or_fatal_recall,4.7054394880481836e-05,0,0.0001411631846414455
