group,candidate,reference,metric,delta,ci_lower,ci_upper,design,iterations
random_seed_4409_2024,lightgbm_weighted,dummy_most_frequent,mean_asymmetric_cost,0.089084189562753324,0.084615613265033085,0.093374666838407977,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,dummy_most_frequent,ordinal_mae,0.19669662231117541,0.19319854944662973,0.20017463116906278,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,dummy_most_frequent,qwk,0.095331370311447006,0.088972468902379295,0.10166574868549354,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,dummy_most_frequent,serious_or_fatal_recall,0.40867206510032311,0.40260879971279268,0.41465555068012289,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_unweighted,accuracy,-0.15713337362648261,-0.15992772003527309,-0.15428923875672523,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_unweighted,fatal_recall,0.20505992010652463,0.18508655126498003,0.22503328894806923,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_unweighted,macro_f1,0.078780304880700425,0.075573326921927031,0.081948374746196956,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_unweighted,mean_asymmetric_cost,0.089084189562753324,0.084615613265033085,0.093374666838407977,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_unweighted,ordinal_mae,0.19669662231117541,0.19319854944662973,0.20017463116906278,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_unweighted,qwk,0.095331370311447006,0.088972468902379295,0.10166574868549354,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_unweighted,serious_or_fatal_recall,0.40867206510032311,0.40260879971279268,0.41465555068012289,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_weighted,accuracy,0.041059379551557029,0.038304665748511345,0.043913174868964712,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_weighted,fatal_recall,-0.27230359520639147,-0.29826897470039948,-0.24833555259653797,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_weighted,macro_f1,0.022990516652057758,0.01995690570903437,0.026268705061195365,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,-0.093037541985791616,-0.097547237111972079,-0.088607607478672676,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_weighted,ordinal_mae,-0.11108028575108736,-0.11481590654631565,-0.10761069882192076,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_weighted,qwk,-0.0020054855304791896,-0.0072131103350390937,0.0032657114603623881,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,-0.040009573576927693,-0.045354820694882114,-0.034145757708723912,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,dummy_most_frequent,accuracy,-0.23360094597958669,-0.23687868226703179,-0.23068599078914609,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,dummy_most_frequent,fatal_recall,0.39226914817465997,0.36576592698639943,0.41875447387258413,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,dummy_most_frequent,macro_f1,0.06371922496668414,0.060734936910570345,0.066641762061584092,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,dummy_most_frequent,mean_asymmetric_cost,0.17240270516969547,0.16768266118994279,0.17738206372915111,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,dummy_most_frequent,ordinal_mae,0.30564890880424861,0.30174855821093688,0.30987080947639195,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,dummy_most_frequent,qwk,0.11662473957319763,0.11132087352303534,0.12188588971769122,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,dummy_most_frequent,serious_or_fatal_recall,0.55291515693379134,0.54632605524445899,0.5596442520351983,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_unweighted,accuracy,-0.23361131856277484,-0.23688931416479964,-0.23069636337233423,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_unweighted,fatal_recall,0.39226914817465997,0.36576592698639943,0.41875447387258413,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_unweighted,macro_f1,0.063683945951897303,0.060701682696402297,0.066590089069605271,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_unweighted,mean_asymmetric_cost,0.1724234503360717,0.16770340635631903,0.17742303543274418,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_unweighted,ordinal_mae,0.3056592813874367,0.30175893079412497,0.3098811820595801,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_unweighted,qwk,0.11656459761946569,0.11126085905540009,0.12178443395998226,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_unweighted,serious_or_fatal_recall,0.55286810032469058,0.54627899863535823,0.55959719542609754,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_weighted,accuracy,0.065004978839930339,0.061830449755207011,0.067992542112687737,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_weighted,fatal_recall,-0.25841088045812455,-0.28276664280601294,-0.2333571939871153,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_weighted,macro_f1,0.032867673897096106,0.029928796429676788,0.035819905831174552,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,-0.13873330014106711,-0.14378500746825995,-0.13386803999668073,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_weighted,ordinal_mae,-0.16085802008132111,-0.16501768525433569,-0.15668772301053857,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_weighted,qwk,0.01894207208685772,0.014692312067796332,0.023322262932898609,paired_true_class_stratified,2000
random_seed_4409_internal,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,-0.066396875441155689,-0.072658933697237832,-0.060326572867159145,paired_true_class_stratified,2000
random_seed_5501_2024,lightgbm_weighted,dummy_most_frequent,accuracy,-0.15611283402855536,-0.15887720827925145,-0.15327885501402008,paired_true_class_stratified,2000
random_seed_5501_2024,lightgbm_weighted,dummy_most_frequent,fatal_recall,0.24766977363515313,0.22636484687083888,0.26965712383488671,paired_true_class_stratified,2000
random_seed_5501_2024,lightgbm_weighted,dummy_most_frequent,macro_f1,0.080254740618042164,0.077194364437174881,0.083480935216554975,paired_true_class_stratified,2000
random_seed_5501_2024,lightgbm_weighted,dummy_most_frequent,mean_asymmetric_cost,0.091779206753396014,0.087310135048104073,0.096268094761560355,paired_true_class_stratified,2000
random_seed_5501_2024,lightgbm_weighted,dummy_most_frequent,ordinal_mae,0.20076887255144804,0.19709270066483695,0.20430633031795256,paired_true_class_stratified,2000
