dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
cas,3301,internal,lightgbm_legacy,ordinal_mae,0.65623081645181092,0.63494475138121542,0.67689789236750564
cas,3301,internal,lightgbm_revised,ordinal_mae,0.65745856353591159,0.63535400040924905,0.67792613055043993
cas,3301,internal,dummy_most_frequent,accuracy,0.78002864743196232,0.78002864743196232,0.78002864743196232
cas,3301,internal,logistic_weighted,accuracy,0.48496009821976671,0.47206363822385922,0.49806118272969097
cas,3301,internal,lightgbm_legacy,accuracy,0.50787804378964596,0.49478207489257214,0.5219971352568038
cas,3301,internal,lightgbm_revised,accuracy,0.50726417024759562,0.49437282586453857,0.52097912829957027
cas,3301,internal,dummy_most_frequent,fatal_recall,0,0,0
cas,3301,internal,logistic_weighted,fatal_recall,0.66165413533834583,0.57894736842105265,0.74436090225563911
cas,3301,internal,lightgbm_legacy,fatal_recall,0.43609022556390975,0.36090225563909772,0.51879699248120303
cas,3301,internal,lightgbm_revised,fatal_recall,0.43609022556390975,0.36090225563909772,0.51879699248120303
cas,3301,internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
cas,3301,internal,logistic_weighted,serious_or_fatal_recall,0.61395348837209307,0.58325581395348836,0.64186046511627903
cas,3301,internal,lightgbm_legacy,serious_or_fatal_recall,0.55720930232558141,0.52744186046511632,0.58511627906976749
cas,3301,internal,lightgbm_revised,serious_or_fatal_recall,0.55255813953488375,0.52279069767441866,0.58232558139534885
cas,3301,internal,dummy_most_frequent,mean_asymmetric_cost,0.52158788622877017,0.52158788622877017,0.52158788622877017
cas,3301,internal,logistic_weighted,mean_asymmetric_cost,0.82525066502967059,0.80049109883364022,0.84878759975445062
cas,3301,internal,lightgbm_legacy,mean_asymmetric_cost,0.78432576222631467,0.75853795784735012,0.80765807243707799
cas,3301,internal,lightgbm_revised,mean_asymmetric_cost,0.78657663188049931,0.76119807652956828,0.81031307550644571
cas,3301,future,dummy_most_frequent,macro_f1,0.29211966176366094,0.29211966176366094,0.29211966176366094
cas,3301,future,logistic_weighted,macro_f1,0.32768939746585452,0.31932554008670067,0.3357456953031514
cas,3301,future,lightgbm_legacy,macro_f1,0.33410856302899056,0.32591612236789197,0.3420061792071965
cas,3301,future,lightgbm_revised,macro_f1,0.33304779086943798,0.32483705356882281,0.34078503880067246
cas,3301,future,dummy_most_frequent,qwk,0,0,0
cas,3301,future,logistic_weighted,qwk,0.098593991256192282,0.086195230399742556,0.11064725247378926
cas,3301,future,lightgbm_legacy,qwk,0.097099843162031796,0.083584746282088423,0.11102337209525501
cas,3301,future,lightgbm_revised,qwk,0.096417361476691221,0.083168665987129922,0.1102797073437433
